combo,coin,interval_min,trades,wins,win_rate,total_pnl_krw,roi_pct,final_capital,tp_sells,sl_sells,pattern_sells,candle_count,period_days
BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-SOL,240,26,7,53.85,17182.67,1.7183,1017182.67,0,2,11,540,90
BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-ADA,15,228,30,26.32,-570754.84,-57.0755,429245.16,2,1,111,8640,90
BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-ADA,30,130,23,35.38,-275287.01,-27.5287,724712.99,2,2,61,4320,90
BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-ADA,60,72,12,33.33,-120698.34,-12.0698,879301.66,3,1,32,2160,90
BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-ADA,240,20,6,60.00,-22676.13,-2.2676,977323.87,1,3,6,540,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-BTC,15,231,27,23.48,-1000000.00,-100.0000,0.00,2,16,97,8640,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-BTC,30,148,17,22.97,-408510.79,-40.8511,591489.21,1,6,67,4320,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-BTC,60,78,11,28.21,-169655.92,-16.9656,830344.08,1,2,36,2160,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-BTC,240,29,5,35.71,-976505.83,-97.6506,23494.17,1,2,11,540,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-ETH,15,309,29,18.83,-1000000.00,-100.0000,0.00,1,15,138,8640,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-ETH,30,156,22,28.21,-365220.29,-36.5220,634779.71,4,9,65,4320,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-ETH,60,86,9,20.93,-261499.08,-26.1499,738500.92,4,3,36,2160,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-ETH,240,23,6,54.55,-935529.71,-93.5530,64470.29,2,3,6,540,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-XRP,15,288,37,25.69,-591075.69,-59.1076,408924.31,8,19,117,8640,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-XRP,30,180,32,35.56,-359673.63,-35.9674,640326.37,4,10,76,4320,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-XRP,60,84,14,33.33,-247721.14,-24.7721,752278.86,4,6,32,2160,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-XRP,240,22,7,63.64,137636.20,13.7636,1137636.20,2,2,7,540,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-SOL,15,343,45,26.32,-1000000.00,-100.0000,0.00,3,12,156,8640,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-SOL,30,159,27,34.18,-1000000.00,-100.0000,0.00,3,5,71,4320,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-SOL,60,98,12,24.49,-357794.78,-35.7795,642205.22,1,8,40,2160,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-SOL,240,26,7,53.85,50874.77,5.0875,1050874.77,2,2,9,540,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-ADA,15,250,39,31.20,-561641.18,-56.1641,438358.82,4,13,108,8640,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-ADA,30,152,25,32.89,-380820.11,-38.0820,619179.89,3,8,65,4320,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-ADA,60,82,12,29.27,-263639.23,-26.3639,736360.77,3,5,33,2160,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-ADA,240,22,6,54.55,-56722.00,-5.6722,943278.00,1,5,5,540,90
