strategies,coin,interval,tp_pct,sl_pct,min_confidence,trades,wins,win_rate,total_pnl,roi_pct,final_capital,tp_sells,sl_sells,pattern_sells
THREE_MARKET_PATTERN,KRW-BTC,240,5.0,5.0,3.0,12,0,50.00,0.00,0.0000,985985.39,1,1,4
THREE_MARKET_PATTERN,KRW-BTC,240,5.0,5.0,5.0,12,0,50.00,0.00,0.0000,985985.39,1,1,4
THREE_MARKET_PATTERN,KRW-BTC,240,5.0,7.0,1.0,12,0,50.00,0.00,0.0000,985985.39,1,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,5.0,7.0,3.0,12,0,50.00,0.00,0.0000,985985.39,1,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,5.0,7.0,5.0,12,0,50.00,0.00,0.0000,985985.39,1,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,7.0,2.0,1.0,12,0,33.33,0.00,0.0000,944250.60,0,4,2
THREE_MARKET_PATTERN,KRW-BTC,240,7.0,2.0,3.0,12,0,33.33,0.00,0.0000,944250.60,0,4,2
THREE_MARKET_PATTERN,KRW-BTC,240,7.0,2.0,5.0,12,0,33.33,0.00,0.0000,944250.60,0,4,2
THREE_MARKET_PATTERN,KRW-BTC,240,7.0,3.0,1.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,7.0,3.0,3.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,7.0,3.0,5.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,7.0,5.0,1.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,7.0,5.0,3.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,7.0,5.0,5.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,7.0,7.0,1.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,7.0,7.0,3.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,7.0,7.0,5.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,10.0,2.0,1.0,12,0,33.33,0.00,0.0000,944250.60,0,4,2
THREE_MARKET_PATTERN,KRW-BTC,240,10.0,2.0,3.0,12,0,33.33,0.00,0.0000,944250.60,0,4,2
THREE_MARKET_PATTERN,KRW-BTC,240,10.0,2.0,5.0,12,0,33.33,0.00,0.0000,944250.60,0,4,2
THREE_MARKET_PATTERN,KRW-BTC,240,10.0,3.0,1.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,10.0,3.0,3.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,10.0,3.0,5.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,10.0,5.0,1.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,10.0,5.0,3.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,10.0,5.0,5.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,10.0,7.0,1.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,10.0,7.0,3.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,10.0,7.0,5.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,15.0,2.0,1.0,12,0,33.33,0.00,0.0000,944250.60,0,4,2
THREE_MARKET_PATTERN,KRW-BTC,240,15.0,2.0,3.0,12,0,33.33,0.00,0.0000,944250.60,0,4,2
THREE_MARKET_PATTERN,KRW-BTC,240,15.0,2.0,5.0,12,0,33.33,0.00,0.0000,944250.60,0,4,2
THREE_MARKET_PATTERN,KRW-BTC,240,15.0,3.0,1.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,15.0,3.0,3.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,15.0,3.0,5.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,15.0,5.0,1.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,15.0,5.0,3.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,15.0,5.0,5.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,15.0,7.0,1.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,15.0,7.0,3.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,15.0,7.0,5.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-ADA,240,3.0,2.0,1.0,10,0,60.00,0.00,0.0000,1041562.39,3,2,0
THREE_MARKET_PATTERN,KRW-ADA,240,3.0,2.0,3.0,10,0,60.00,0.00,0.0000,1041562.39,3,2,0
THREE_MARKET_PATTERN,KRW-ADA,240,3.0,2.0,5.0,10,0,60.00,0.00,0.0000,1041562.39,3,2,0
THREE_MARKET_PATTERN,KRW-ADA,240,3.0,3.0,1.0,10,0,60.00,0.00,0.0000,1019505.03,3,2,0
THREE_MARKET_PATTERN,KRW-ADA,240,3.0,3.0,3.0,10,0,60.00,0.00,0.0000,1019505.03,3,2,0
THREE_MARKET_PATTERN,KRW-ADA,240,3.0,3.0,5.0,10,0,60.00,0.00,0.0000,1019505.03,3,2,0
THREE_MARKET_PATTERN,KRW-ADA,240,3.0,5.0,1.0,10,0,60.00,0.00,0.0000,1007181.48,3,0,2
THREE_MARKET_PATTERN,KRW-ADA,240,3.0,5.0,3.0,10,0,60.00,0.00,0.0000,1007181.48,3,0,2
THREE_MARKET_PATTERN,KRW-ADA,240,3.0,5.0,5.0,10,0,60.00,0.00,0.0000,1007181.48,3,0,2
